Time	User%	Sys%	Wait%	Idle%	CPU%
1	3.3	4.4	0.7	91.7	7.7
2	0.7	1	0	98.3	1.7
3	1.1	3.5	0	95.5	4.6
4	1.6	4	0	94.4	5.6
5	1.8	4.6	0.2	93.5	6.4
6	1.4	2.1	0	96.6	3.5
7	0	1.5	0	98.5	1.5
8	0.5	1	0	98.5	1.5
9	0.9	2.5	0	96.6	3.4
10	7.4	3.9	4.4	84.3	11.3
11	13.5	5.8	8.4	72.3	19.3
12	21.4	3.1	1.7	73.8	24.5
13	20.3	3.4	2.5	73.8	23.7
14	19.7	3.2	3.4	73.6	22.9
15	20.2	3.7	3.2	72.9	23.9
16	15.2	4.7	6	74.1	19.9
17	17	4.4	4.4	74.1	21.4
18	9	9.3	9.3	72.4	18.3
19	5.9	8.4	11.9	73.8	14.3
20	7.6	9.6	8.4	74.4	17.2
21	4.3	5.2	1.9	88.6	9.5
22	2	0.7	0	97.3	2.7
23	1.5	4.7	0	93.8	6.2
24	0.7	1.2	0	98.1	1.9
25	1	1.2	0	97.8	2.2
26	1.4	2.3	0	96.3	3.7
27	10	1	0.2	88.8	11
28	24.1	1.5	0	74.4	25.6
29	25.2	1	0	73.8	26.2
30	24.9	0.5	0	74.6	25.4
31	25.4	0	0	74.6	25.4
32	25.3	0.5	0	74.2	25.8
33	24.1	1.5	0.2	74.2	25.6
34	24	1.2	0.2	74.6	25.2
35	25.1	1.7	0.2	73	26.8
36	11.6	14.9	0.5	73	26.5
37	1.5	25.6	0	72.9	27.1
38	15.3	29.4	0.5	54.9	44.7
39	19.5	5.9	3.6	71	25.4
40	7.2	13.3	8.6	70.9	20.5
41	11.6	16.4	6.1	65.9	28
42	10.5	22.1	6.9	60.6	32.6
43	7.9	10.1	2.2	79.9	18
44	14.9	5.1	0	80	20
45	11.7	6.6	0	81.7	18.3
46	16.2	5.7	0	78.1	21.9
47	16.6	6.1	0.2	77	22.7
48	24	1.7	0.2	74	25.7
49	24.4	1.2	0	74.4	25.6
50	24.6	1.7	0	73.6	26.3
51	24.9	0.5	0	74.6	25.4
52	25.2	0.5	0	74.3	25.7
53	25.1	0.5	0	74.4	25.6
54	25.4	0	0	74.6	25.4
55	25	0.7	0	74.3	25.7
56	25.1	0.2	0.2	74.4	25.3
57	25	0.7	0	74.3	25.7
58	24.8	0.5	0	74.8	25.3
59	25.2	0.7	0	74.1	25.9
60	24.4	0.7	0	74.8	25.1
61	25	1	0	74	26
62	25.2	1.2	0.2	73.3	26.4
63	25.1	0.5	0	74.4	25.6
64	22.5	2.2	0	75.3	24.7
65	12	10.6	0	77.4	22.6
66	10.7	8	0	81.2	18.7
67	9.7	6.9	0	83.4	16.6
68	11.3	9	0	79.7	20.3
69	13.1	6.9	0	80	20
70	12.3	5.1	0	82.6	17.4
71	16.1	5	0.2	78.6	21.1
72	25.3	1.9	0	72.9	27.2
73	25.1	1	0	73.9	26.1
74	24.6	1	0	74.4	25.6
75	25.1	0.5	0	74.4	25.6
76	24.6	0.7	0.2	74.4	25.3
77	25.1	0.5	0	74.4	25.6
78	25.1	0.5	0	74.4	25.6
79	25.1	0.2	0	74.6	25.3
80	25.2	1	0	73.8	26.2
81	24.9	0.5	0	74.6	25.4
82	25.1	1	0.2	73.6	26.1
83	25.4	1	0	73.7	26.4
84	25.1	0.2	0	74.6	25.3
85	25	0.7	0	74.3	25.7
86	24.9	0.5	0	74.6	25.4
87	24.7	1.2	0	74.1	25.9
88	24.6	1	0	74.4	25.6
89	24.7	0.7	0	74.6	25.4
90	24.5	1.2	0	74.3	25.7
91	25.2	0.2	0	74.6	25.4
92	24.8	1	0	74.3	25.8
93	25.4	0.2	0	74.4	25.6
94	23.6	2.2	0	74.2	25.8
95	25.4	0.5	0	74.1	25.9
96	24.9	1	0	74.1	25.9
97	20.7	3	3.2	73.2	23.7
98	14.6	13.1	2.4	69.9	27.7
99	12.6	10.8	0	76.6	23.4
100	12.7	10	0	77.2	22.7
101	13.7	8.6	0	77.7	22.3
102	10.2	10.9	0	78.8	21.1
103	10.2	6	0.5	83.2	16.2
104	10.3	5.8	0	83.9	16.1
105	10.9	5.3	0	83.8	16.2
106	15.2	3.8	0.5	80.5	19
107	24.9	0.2	0	74.8	25.1
108	24.9	1.2	0	73.9	26.1
109	25.2	0.7	0	74.1	25.9
