Memory MB nvidia-chip	memtotal	memfree	cached	active	buffers	inactive
1	7859.9	5927.8	720.1	1027.5	40.5	420.5
2	7859.9	5927.7	720.1	1027.7	40.5	420.5
3	7859.9	5927.5	720.1	1027.8	40.5	420.6
4	7859.9	5927.5	720.1	1027.8	40.5	420.6
5	7859.9	5927.5	720.1	1027.8	40.5	420.6
6	7859.9	5927.3	720.1	1027.8	40.5	420.6
7	7859.9	5927.3	720.1	1027.8	40.5	420.6
8	7859.9	5927.3	720.1	1027.8	40.5	420.6
9	7859.9	5927.2	720.1	1027.8	40.5	420.6
10	7859.9	5875.7	756.2	1043.5	41.4	456.5
11	7859.9	5730.2	878.4	1067	41.5	578
12	7859.9	5705.1	882.3	1087.6	41.8	581.8
13	7859.9	5683.4	887.3	1103.7	42.1	586.7
14	7859.9	5650.5	904.7	1118.1	42.4	604.2
15	7859.9	5624.6	912.6	1136.1	42.7	611.3
16	7859.9	5600.6	917.5	1153.3	44.8	616.3
17	7859.9	5588	919.4	1163.4	46.5	617
18	7859.9	5384.2	1045.4	1198.9	46.8	742.2
19	7859.9	5106.1	1207.2	1288.7	46.8	904.5
20	7859.9	4830.2	1325	1409.5	46.8	1022.1
21	7859.9	4755.7	1348.6	1449.4	46.8	1045.8
22	7859.9	4755.8	1348.6	1449.4	46.8	1045.8
23	7859.9	4754.8	1348.6	1449.4	46.8	1045.8
24	7859.9	4755	1348.6	1449.4	46.8	1045.8
25	7859.9	4755	1348.6	1449.4	46.8	1045.8
26	7859.9	4754.6	1348.6	1449.4	46.8	1045.8
27	7859.9	4747.6	1349.4	1456.2	46.8	1046.5
28	7859.9	4739	1349.4	1464.8	46.8	1046.5
29	7859.9	4728.8	1349.4	1474.8	46.8	1046.5
30	7859.9	4728.7	1349.4	1475	46.8	1046.5
31	7859.9	4728.7	1349.4	1475	46.8	1046.5
32	7859.9	4728.1	1349.4	1475.2	46.8	1046.6
33	7859.9	4709.2	1352.4	1491.3	46.8	1049.6
34	7859.9	4704.8	1354.7	1493.5	46.8	1051.8
35	7859.9	4696.2	1359.4	1497.4	46.8	1056.6
36	7859.9	3292.1	1361.4	1499.4	46.8	1058.5
37	7859.9	778.9	1361.4	1499.4	46.8	1058.6
38	7859.9	316.2	1165.1	1467.9	46.2	1014.1
39	7859.9	203.8	1233.2	1503.3	46.2	1081.6
40	7859.9	95.4	1201.6	1653.2	39.1	1000.8
41	7859.9	98.4	1035.2	1805.7	37.8	796
42	7859.9	105.5	863.2	1920.2	31.5	618.6
43	7859.9	115.5	847.9	1896.6	30.6	625.8
44	7859.9	112.8	850.2	1898.4	30.6	626.5
45	7859.9	112.7	850.2	1898.4	30.6	626.6
46	7859.9	112.6	850.2	1898.4	30.6	626.7
47	7859.9	105.3	855.9	1901.6	30.6	631.3
48	7859.9	98.7	857.3	1906.9	30.6	632.6
49	7859.9	90.7	857.3	1914.9	30.6	632.7
50	7859.9	116	823.7	1908	29.9	615.6
51	7859.9	107.9	823.7	1916.1	29.9	615.6
52	7859.9	105.2	823.7	1918.8	29.9	615.6
53	7859.9	105.2	823.7	1918.8	29.9	615.6
54	7859.9	105.2	823.7	1918.8	29.9	615.6
55	7859.9	105.1	823.7	1918.8	29.9	615.6
56	7859.9	105.1	823.8	1918.9	29.9	615.6
57	7859.9	103.4	823.8	1920.6	29.9	615.6
58	7859.9	93.4	823.8	1930.4	29.9	615.6
59	7859.9	120	823.8	1902.8	29.9	615.6
60	7859.9	100.7	823.8	1922.7	29.9	615.6
61	7859.9	94.9	823.8	1928.3	29.9	615.6
62	7859.9	86.2	826.3	1935.9	29.9	616.9
63	7859.9	86.1	826.3	1936.1	29.9	617
64	7859.9	86.1	826.3	1936.1	29.9	617
65	7859.9	85.9	826.3	1936.2	29.9	617.1
66	7859.9	84	827.9	1936.6	29.9	618.6
67	7859.9	83.8	827.9	1936.6	29.9	618.7
68	7859.9	102.3	809.1	1926.5	29.6	609.7
69	7859.9	100.2	809.1	1928.7	29.6	609.8
70	7859.9	99.7	809.1	1928.8	29.6	609.8
71	7859.9	98.3	811.1	1928.8	29.6	611.7
72	7859.9	89.5	811.1	1937.6	29.6	611.8
73	7859.9	115.9	778.2	1926.6	29	596.5
74	7859.9	113.9	778.1	1928.8	29	596.6
75	7859.9	101.8	778.1	1940.7	29	596.6
76	7859.9	96	778.2	1946.7	29.1	596.6
77	7859.9	87.9	778.2	1954.8	29.1	596.6
78	7859.9	87.8	778.2	1954.8	29.1	596.6
79	7859.9	87.8	778.2	1954.8	29.1	596.6
80	7859.9	87.8	778.2	1954.8	29.1	596.6
81	7859.9	87.8	778.2	1954.8	29.1	596.6
82	7859.9	105.2	761.3	1944.3	28.7	589.5
83	7859.9	105.2	761.3	1944.7	28.7	589.1
84	7859.9	105.2	761.3	1944.7	28.7	589.1
85	7859.9	104.7	761.3	1945.2	28.7	589.1
86	7859.9	96.5	761.3	1953.5	28.7	589.1
87	7859.9	91	761.3	1958.9	28.7	589.1
88	7859.9	85.1	761.3	1964.8	28.7	589.1
89	7859.9	131.2	761.3	1917.5	28.7	589.1
90	7859.9	108.8	761.3	1940.4	28.7	589.2
91	7859.9	100.6	761.3	1948.6	28.7	589.2
92	7859.9	100.6	761.3	1948.6	28.7	589.2
93	7859.9	100.6	761.3	1948.6	28.7	589.2
94	7859.9	94.2	761.3	1955.3	28.7	589.6
95	7859.9	94.2	761.3	1955.3	28.7	589.6
96	7859.9	94.2	761.2	1955.3	28.7	589.6
97	7859.9	80.4	777.7	1941.2	25.6	614.1
98	7859.9	99.4	642.4	1960.8	8.9	539.8
99	7859.9	98.5	642.4	1961	8.9	539.9
100	7859.9	98.4	642.4	1961	8.9	540
101	7859.9	98	642.4	1961.9	8.9	539.6
102	7859.9	104.4	638.6	1951.3	8.9	546.1
103	7859.9	92.1	647.7	1957.1	8.9	552.3
104	7859.9	92.1	647.7	1957.1	8.9	552.3
105	7859.9	91.9	647.7	1957.2	8.9	552.3
106	7859.9	84	651.4	1961.5	8.9	555.7
107	7859.9	81.9	651.4	1963.7	8.9	555.9
108	7859.9	89.5	634.2	1967	8.6	544
109	7859.9	96.8	634.2	1959.9	8.6	544.2
110	7859.9	84.2	634.2	1972.4	8.6	544.2
111	7859.9	78.4	634.2	1978.2	8.6	544.2
112	7859.9	83.2	618.2	1978.7	8.3	538.5
113	7859.9	87.8	601.6	1980.5	8	532.2
114	7859.9	81.5	601.6	1986.8	8	532.2
115	7859.9	106.4	569.5	1976.1	7.3	518
116	7859.9	98.7	569.5	1983.5	7.3	518
117	7859.9	98.7	569.5	1983.6	7.3	518
118	7859.9	98.7	569.5	1983.7	7.3	518
119	7859.9	98.1	569.5	1983.8	7.3	517.9
120	7859.9	98.1	569.5	1983.8	7.3	517.9
121	7859.9	98.1	569.8	1984.7	7.3	517.5
122	7859.9	98.6	569.7	1984.7	7.3	517.3
123	7859.9	98.5	569.8	1984.7	7.3	517.3
124	7859.9	98.5	569.8	1984.7	7.3	517.3
125	7859.9	98.4	569.7	1984.7	7.3	517.3
126	7859.9	98.4	569.8	1984.7	7.3	517.3
127	7859.9	98.4	569.8	1984.7	7.3	517.3
128	7859.9	97.7	569.8	1985.3	7.3	517.3
129	7859.9	97.7	569.8	1985.3	7.3	517.3
130	7859.9	93.4	569.8	1989.7	7.3	517.3
131	7859.9	96.1	548.7	1994.2	6.8	508.9
132	7859.9	96	548.7	1994.4	6.8	508.9
133	7859.9	87	548.7	2003.3	6.8	508.9
134	7859.9	86	548.7	2004.3	6.8	508.9
135	7859.9	148.6	548.7	1941.4	6.8	508.9
136	7859.9	94.3	548.7	1995.7	6.8	508.9
137	7859.9	94.3	548.7	1995.7	6.8	508.9
138	7859.9	82	548.7	2007.9	6.8	508.9
139	7859.9	81.8	548.7	2008	6.8	508.9
140	7859.9	95.5	534.6	1998.8	6.6	503.7
141	7859.9	95.5	534.6	1998.9	6.6	503.5
142	7859.9	95.8	534.6	1998.9	6.6	503.5
143	7859.9	95.8	534.6	1998.9	6.6	503.5
144	7859.9	86.3	534.6	2007.9	6.6	504
145	7859.9	86.2	534.6	2008	6.6	504
146	7859.9	86.2	534.6	2008	6.6	504
147	7859.9	86.2	534.6	2008	6.6	504
148	7859.9	86.2	534.6	2008	6.6	504
149	7859.9	85.2	535.6	2008.8	6.6	504
150	7859.9	85.2	535.5	2009	6.6	504.3
151	7859.9	85.2	535.5	2009	6.6	504.3
152	7859.9	87.9	535.4	2003.8	6.6	509.4
153	7859.9	87.9	535.3	2003.6	6.6	509.7
154	7859.9	87.7	535.3	2003.6	6.6	509.7
155	7859.9	87.6	535.3	2003.6	6.6	509.7
156	7859.9	87	535.3	2003.6	6.6	509.7
157	7859.9	86.8	535.3	2003.6	6.6	509.7
158	7859.9	96.5	525.5	1982.7	6.1	520.1
159	7859.9	94.6	526.8	1984.4	6.2	520.8
160	7859.9	85.6	528.3	1993	6.4	520.9
161	7859.9	96.6	516.7	1985.3	6.2	516.7
162	7859.9	96.6	516.7	1985.2	6.2	516.7
163	7859.9	96.4	516.7	1985.4	6.2	516.7
164	7859.9	83.6	521.7	1995.6	6.2	519.5
165	7859.9	88.1	521.7	1990.7	6.2	519.7
166	7859.9	88.1	521.7	1990.7	6.2	519.7
167	7859.9	86.7	523.2	1991.8	6.2	519.7
168	7859.9	83.6	526.9	1993.1	6.2	522.3
169	7859.9	83.5	526.9	1993.3	6.2	522.5
170	7859.9	83.5	526.9	1993.3	6.2	522.6
171	7859.9	83.4	526.9	1993.3	6.2	522.7
172	7859.9	83.4	526.9	1993.3	6.2	522.7
173	7859.9	82.3	527.9	1993.3	6.2	523.8
174	7859.9	82.3	528	1993.3	6.2	523.8
175	7859.9	99.2	511.1	1983.1	5.9	516.6
176	7859.9	150.9	511.1	1930.9	5.9	516.6
177	7859.9	150.9	511.1	1930.9	5.9	516.6
178	7859.9	144.8	511.1	1937.4	5.9	516.6
179	7859.9	137	511.1	1945.3	5.9	516.6
180	7859.9	124.9	511.1	1956.8	5.9	516.4
181	7859.9	113.4	511.1	1968.4	5.9	516.4
182	7859.9	107.5	511.1	1974.1	5.9	516.4
183	7859.9	96.6	511.1	1985	5.9	516.4
184	7859.9	96.4	511.1	1985.3	5.9	516.4
185	7859.9	96.4	511.3	1985.3	5.9	516.6
186	7859.9	96.4	511.3	1985.3	5.9	516.6
187	7859.9	96.4	511.3	1985.3	5.9	516.6
188	7859.9	96.4	511.3	1985.3	5.9	516.6
189	7859.9	96.4	511.3	1985.3	5.9	516.6
190	7859.9	96.4	511.3	1985.3	5.9	516.6
191	7859.9	96.4	511.3	1985.3	5.9	516.6
192	7859.9	96.4	511.3	1985.4	5.9	516.6
193	7859.9	95.7	511.3	1986	5.9	516.6
194	7859.9	95.7	511.3	1986	5.9	516.6
195	7859.9	84.1	511.3	1997.5	5.9	516.6
196	7859.9	102.5	487.4	1984.8	5.5	511.5
197	7859.9	96.3	487.4	1990.9	5.5	511.5
198	7859.9	150.9	487.4	1936	5.5	511.5
199	7859.9	150.9	487.5	1936.3	5.5	511.3
200	7859.9	151.1	487.5	1936.2	5.5	511.2
201	7859.9	151	487.5	1936.2	5.5	511.2
202	7859.9	151	487.5	1936.2	5.5	511.2
203	7859.9	151	487.5	1936.2	5.5	511.2
204	7859.9	151	487.5	1936.2	5.5	511.2
205	7859.9	150.8	487.5	1936.3	5.6	511.5
206	7859.9	150.8	487.5	1936.3	5.6	511.5
207	7859.9	150.8	487.5	1936.3	5.6	511.5
208	7859.9	150.8	487.5	1936.3	5.6	511.5
209	7859.9	150.8	487.5	1936.3	5.6	511.5
210	7859.9	149	489.1	1936.4	5.6	513.2
211	7859.9	148.8	489.1	1936.4	5.6	513.3
212	7859.9	148.4	489.1	1936.4	5.6	513.4
213	7859.9	148.4	489.1	1936.4	5.6	513.4
214	7859.9	148.4	489.1	1936.4	5.6	513.4
215	7859.9	148.4	489.1	1936.4	5.6	513.4
216	7859.9	148.4	489.1	1936.4	5.6	513.4
217	7859.9	148.3	489.2	1936.5	5.6	513.6
218	7859.9	148.3	489.2	1936.5	5.6	513.6
219	7859.9	148	489.2	1936.6	5.6	513.7
220	7859.9	147.9	489.2	1936.5	5.6	513.9
221	7859.9	147.9	489.2	1936.5	5.6	513.9
222	7859.9	147.8	489.2	1936.5	5.6	514
223	7859.9	147.8	489.2	1936.5	5.6	514
224	7859.9	147.8	489.2	1936.5	5.6	514
225	7859.9	147.8	489.2	1936.5	5.6	514
226	7859.9	147.7	489.2	1936.5	5.6	514
227	7859.9	147.7	489.2	1936.5	5.6	514
228	7859.9	147.7	489.2	1936.5	5.6	514
229	7859.9	147.7	489.2	1936.5	5.6	514
230	7859.9	147.7	489.2	1936.5	5.6	514
231	7859.9	147.7	489.2	1936.5	5.6	514
232	7859.9	147.7	489.2	1936.5	5.6	514
233	7859.9	147.7	489.2	1936.5	5.6	514
234	7859.9	147.7	489.2	1936.5	5.6	514
235	7859.9	147.7	489.2	1936.5	5.6	514
236	7859.9	147.7	489.2	1936.5	5.6	514
237	7859.9	147.7	489.2	1936.5	5.6	514
238	7859.9	147.6	489.2	1936.5	5.6	514
239	7859.9	147.6	489.2	1936.5	5.6	514.1
240	7859.9	147.6	489.2	1936.5	5.6	514.1
241	7859.9	147.6	489.2	1936.5	5.6	514.1
242	7859.9	147.6	489.2	1936.5	5.6	514.1
243	7859.9	147.6	489.2	1936.5	5.6	514.1
244	7859.9	147.6	489.2	1936.5	5.6	514.1
245	7859.9	147.6	489.2	1936.6	5.6	514.1
246	7859.9	147.6	489.2	1936.6	5.6	514.1
247	7859.9	147.6	489.4	1936.7	5.8	514.1
248	7859.9	146	491.2	1938.5	5.8	514.2
249	7859.9	146	491.2	1938.5	5.8	514.2
250	7859.9	146	491.2	1938.5	5.8	514.2
251	7859.9	144.8	492.5	1938.7	5.8	515
252	7859.9	138.8	494.4	1940	5.8	516
253	7859.9	138.8	494.4	1940	5.8	515.9
